id,class,age,status,gender
1,3,22,Survived,Man
2,1,38,Died,Woman
3,3,26,Died,Woman
4,1,35,Died,Woman
5,3,35,Survived,Man
7,1,54,Survived,Man
8,3,2,Survived,Man
9,3,27,Died,Woman
10,2,14,Died,Woman
11,3,4,Died,Woman
12,1,58,Died,Woman
13,3,20,Survived,Man
14,3,39,Survived,Man
15,3,14,Survived,Woman
16,2,55,Died,Woman
17,3,2,Survived,Man
19,3,31,Survived,Woman
21,2,35,Survived,Man
22,2,34,Died,Man
23,3,15,Died,Woman
24,1,28,Died,Man
25,3,8,Survived,Woman
26,3,38,Died,Woman
28,1,19,Survived,Man
31,1,40,Survived,Man
34,2,66,Survived,Man
35,1,28,Survived,Man
36,1,42,Survived,Man
38,3,21,Survived,Man
39,3,18,Survived,Woman
40,3,14,Died,Woman
41,3,40,Survived,Woman
42,2,27,Survived,Woman
44,2,3,Died,Woman
45,3,19,Died,Woman
50,3,18,Survived,Woman
51,3,7,Survived,Man
52,3,21,Survived,Man
53,1,49,Died,Woman
54,2,29,Died,Woman
55,1,65,Survived,Man
57,2,21,Died,Woman
58,3,28.5,Survived,Man
59,2,5,Died,Woman
60,3,11,Survived,Man
61,3,22,Survived,Man
62,1,38,Died,Woman
63,1,45,Survived,Man
64,3,4,Survived,Man
67,2,29,Died,Woman
68,3,19,Survived,Man
69,3,17,Died,Woman
70,3,26,Survived,Man
71,2,32,Survived,Man
72,3,16,Survived,Woman
73,2,21,Survived,Man
74,3,26,Survived,Man
75,3,32,Died,Man
76,3,25,Survived,Man
79,2,0.83,Died,Man
80,3,30,Died,Woman
81,3,22,Survived,Man
82,3,29,Died,Man
84,1,28,Survived,Man
85,2,17,Died,Woman
86,3,33,Died,Woman
87,3,16,Survived,Man
89,1,23,Died,Woman
90,3,24,Survived,Man
91,3,29,Survived,Man
92,3,20,Survived,Man
93,1,46,Survived,Man
94,3,26,Survived,Man
95,3,59,Survived,Man
97,1,71,Survived,Man
98,1,23,Died,Man
99,2,34,Died,Woman
100,2,34,Survived,Man
101,3,28,Survived,Woman
103,1,21,Survived,Man
104,3,33,Survived,Man
105,3,37,Survived,Man
106,3,28,Survived,Man
107,3,21,Died,Woman
109,3,38,Survived,Man
111,1,47,Survived,Man
112,3,14.5,Survived,Woman
113,3,22,Survived,Man
114,3,20,Survived,Woman
115,3,17,Survived,Woman
116,3,21,Survived,Man
117,3,70.5,Survived,Man
118,2,29,Survived,Man
119,1,24,Survived,Man
120,3,2,Survived,Woman
121,2,21,Survived,Man
123,2,32.5,Survived,Man
124,2,32.5,Died,Woman
125,1,54,Survived,Man
126,3,12,Died,Man
128,3,24,Died,Man
130,3,45,Survived,Man
131,3,33,Survived,Man
132,3,20,Survived,Man
133,3,47,Survived,Woman
134,2,29,Died,Woman
135,2,25,Survived,Man
136,2,23,Survived,Man
137,1,19,Died,Woman
138,1,37,Survived,Man
139,3,16,Survived,Man
140,1,24,Survived,Man
142,3,22,Died,Woman
143,3,24,Died,Woman
144,3,19,Survived,Man
145,2,18,Survived,Man
146,2,19,Survived,Man
147,3,27,Died,Man
148,3,9,Survived,Woman
149,2,36.5,Survived,Man
150,2,42,Survived,Man
151,2,51,Survived,Man
152,1,22,Died,Woman
153,3,55.5,Survived,Man
154,3,40.5,Survived,Man
156,1,51,Survived,Man
157,3,16,Died,Woman
158,3,30,Survived,Man
161,3,44,Survived,Man
162,2,40,Died,Woman
163,3,26,Survived,Man
164,3,17,Survived,Man
165,3,1,Survived,Man
166,3,9,Died,Man
168,3,45,Survived,Woman
170,3,28,Survived,Man
171,1,61,Survived,Man
172,3,4,Survived,Man
173,3,1,Died,Woman
174,3,21,Survived,Man
175,1,56,Survived,Man
176,3,18,Survived,Man
178,1,50,Survived,Woman
179,2,30,Survived,Man
180,3,36,Survived,Man
183,3,9,Survived,Man
184,2,1,Died,Man
185,3,4,Died,Woman
188,1,45,Died,Man
189,3,40,Survived,Man
190,3,36,Survived,Man
191,2,32,Died,Woman
192,2,19,Survived,Man
193,3,19,Died,Woman
194,2,3,Died,Man
195,1,44,Died,Woman
196,1,58,Died,Woman
198,3,42,Survived,Man
200,2,24,Survived,Woman
201,3,28,Survived,Man
203,3,34,Survived,Man
204,3,45.5,Survived,Man
205,3,18,Died,Man
206,3,2,Survived,Woman
207,3,32,Survived,Man
208,3,26,Died,Man
209,3,16,Died,Woman
210,1,40,Died,Man
211,3,24,Survived,Man
212,2,35,Died,Woman
213,3,22,Survived,Man
214,2,30,Survived,Man
216,1,31,Died,Woman
217,3,27,Died,Woman
218,2,42,Survived,Man
219,1,32,Died,Woman
220,2,30,Survived,Man
221,3,16,Died,Man
222,2,27,Survived,Man
223,3,51,Survived,Man
225,1,38,Died,Man
226,3,22,Survived,Man
227,2,19,Died,Man
228,3,20.5,Survived,Man
229,2,18,Survived,Man
231,1,35,Died,Woman
232,3,29,Survived,Man
233,2,59,Survived,Man
234,3,5,Died,Woman
235,2,24,Survived,Man
237,2,44,Survived,Man
238,2,8,Died,Woman
239,2,19,Survived,Man
240,2,33,Survived,Man
243,2,29,Survived,Man
244,3,22,Survived,Man
245,3,30,Survived,Man
246,1,44,Survived,Man
247,3,25,Survived,Woman
248,2,24,Died,Woman
249,1,37,Died,Man
250,2,54,Survived,Man
252,3,29,Survived,Woman
253,1,62,Survived,Man
254,3,30,Survived,Man
255,3,41,Survived,Woman
256,3,29,Died,Woman
258,1,30,Died,Woman
259,1,35,Died,Woman
260,2,50,Died,Woman
262,3,3,Died,Man
263,1,52,Survived,Man
264,1,40,Survived,Man
266,2,36,Survived,Man
267,3,16,Survived,Man
268,3,25,Died,Man
269,1,58,Died,Woman
270,1,35,Died,Woman
272,3,25,Died,Man
273,2,41,Died,Woman
274,1,37,Survived,Man
276,1,63,Died,Woman
277,3,45,Survived,Woman
279,3,7,Survived,Man
280,3,35,Died,Woman
281,3,65,Survived,Man
282,3,28,Survived,Man
283,3,16,Survived,Man
284,3,19,Died,Man
286,3,33,Survived,Man
287,3,30,Died,Man
288,3,22,Survived,Man
289,2,42,Died,Man
290,3,22,Died,Woman
291,1,26,Died,Woman
292,1,19,Died,Woman
293,2,36,Survived,Man
294,3,24,Survived,Woman
295,3,24,Survived,Man
297,3,23.5,Survived,Man
298,1,2,Survived,Woman
300,1,50,Died,Woman
303,3,19,Survived,Man
306,1,0.92,Died,Man
308,1,17,Died,Woman
309,2,30,Survived,Man
310,1,30,Died,Woman
311,1,24,Died,Woman
312,1,18,Died,Woman
313,2,26,Survived,Woman
314,3,28,Survived,Man
315,2,43,Survived,Man
316,3,26,Died,Woman
317,2,24,Died,Woman
318,2,54,Survived,Man
319,1,31,Died,Woman
320,1,40,Died,Woman
321,3,22,Survived,Man
322,3,27,Survived,Man
323,2,30,Died,Woman
324,2,22,Died,Woman
326,1,36,Died,Woman
327,3,61,Survived,Man
328,2,36,Died,Woman
329,3,31,Died,Woman
330,1,16,Died,Woman
332,1,45.5,Survived,Man
333,1,38,Survived,Man
334,3,16,Survived,Man
337,1,29,Survived,Man
338,1,41,Died,Woman
339,3,45,Died,Man
340,1,45,Survived,Man
341,2,2,Died,Man
342,1,24,Died,Woman
343,2,28,Survived,Man
344,2,25,Survived,Man
345,2,36,Survived,Man
346,2,24,Died,Woman
347,2,40,Died,Woman
349,3,3,Died,Man
350,3,42,Survived,Man
351,3,23,Survived,Man
353,3,15,Survived,Man
354,3,25,Survived,Man
356,3,28,Survived,Man
357,1,22,Died,Woman
358,2,38,Survived,Woman
361,3,40,Survived,Man
362,2,29,Survived,Man
363,3,45,Survived,Woman
364,3,35,Survived,Man
366,3,30,Survived,Man
367,1,60,Died,Woman
370,1,24,Died,Woman
371,1,25,Died,Man
372,3,18,Survived,Man
373,3,19,Survived,Man
374,1,22,Survived,Man
375,3,3,Survived,Woman
377,3,22,Died,Woman
378,1,27,Survived,Man
379,3,20,Survived,Man
380,3,19,Survived,Man
381,1,42,Died,Woman
382,3,1,Died,Woman
383,3,32,Survived,Man
384,1,35,Died,Woman
386,2,18,Survived,Man
387,3,1,Survived,Man
388,2,36,Died,Woman
390,2,17,Died,Woman
391,1,36,Died,Man
392,3,21,Died,Man
393,3,28,Survived,Man
394,1,23,Died,Woman
395,3,24,Died,Woman
396,3,22,Survived,Man
397,3,31,Survived,Woman
398,2,46,Survived,Man
399,2,23,Survived,Man
400,2,28,Died,Woman
401,3,39,Died,Man
402,3,26,Survived,Man
403,3,21,Survived,Woman
404,3,28,Survived,Man
405,3,20,Survived,Woman
406,2,34,Survived,Man
407,3,51,Survived,Man
408,2,3,Died,Man
409,3,21,Survived,Man
413,1,33,Died,Woman
415,3,44,Died,Man
417,2,34,Died,Woman
418,2,18,Died,Woman
419,2,30,Survived,Man
420,3,10,Survived,Woman
422,3,21,Survived,Man
423,3,29,Survived,Man
424,3,28,Survived,Woman
425,3,18,Survived,Man
427,2,28,Died,Woman
428,2,19,Died,Woman
430,3,32,Died,Man
431,1,28,Died,Man
433,2,42,Died,Woman
434,3,17,Survived,Man
435,1,50,Survived,Man
436,1,14,Died,Woman
437,3,21,Survived,Woman
438,2,24,Died,Woman
439,1,64,Survived,Man
440,2,31,Survived,Man
441,2,45,Died,Woman
442,3,20,Survived,Man
443,3,25,Survived,Man
444,2,28,Died,Woman
446,1,4,Died,Man
447,2,13,Died,Woman
448,1,34,Died,Man
449,3,5,Died,Woman
450,1,52,Died,Man
451,2,36,Survived,Man
453,1,30,Survived,Man
454,1,49,Died,Man
456,3,29,Died,Man
457,1,65,Survived,Man
459,2,50,Died,Woman
461,1,48,Died,Man
462,3,34,Survived,Man
463,1,47,Survived,Man
464,2,48,Survived,Man
466,3,38,Survived,Man
468,1,56,Survived,Man
470,3,0.75,Died,Woman
472,3,38,Survived,Man
473,2,33,Died,Woman
474,2,23,Died,Woman
475,3,22,Survived,Woman
477,2,34,Survived,Man
478,3,29,Survived,Man
479,3,22,Survived,Man
480,3,2,Died,Woman
481,3,9,Survived,Man
483,3,50,Survived,Man
484,3,63,Died,Woman
485,1,25,Died,Man
487,1,35,Died,Woman
488,1,58,Survived,Man
489,3,30,Survived,Man
490,3,9,Died,Man
492,3,21,Survived,Man
493,1,55,Survived,Man
494,1,71,Survived,Man
495,3,21,Survived,Man
497,1,54,Died,Woman
499,1,25,Survived,Woman
500,3,24,Survived,Man
501,3,17,Survived,Man
502,3,21,Survived,Woman
504,3,37,Survived,Woman
505,1,16,Died,Woman
506,1,18,Survived,Man
507,2,33,Died,Woman
509,3,28,Survived,Man
510,3,26,Died,Man
511,3,29,Died,Man
513,1,36,Died,Man
514,1,54,Died,Woman
515,3,24,Survived,Man
516,1,47,Survived,Man
517,2,34,Died,Woman
519,2,36,Died,Woman
520,3,32,Survived,Man
521,1,30,Died,Woman
522,3,22,Survived,Man
524,1,44,Died,Woman
526,3,40.5,Survived,Man
527,2,50,Died,Woman
529,3,39,Survived,Man
530,2,23,Survived,Man
531,2,2,Died,Woman
533,3,17,Survived,Man
535,3,30,Survived,Woman
536,2,7,Died,Woman
537,1,45,Survived,Man
538,1,30,Died,Woman
540,1,22,Died,Woman
541,1,36,Died,Woman
542,3,9,Survived,Woman
543,3,11,Survived,Woman
544,2,32,Died,Man
545,1,50,Survived,Man
546,1,64,Survived,Man
547,2,19,Died,Woman
549,3,33,Survived,Man
550,2,8,Died,Man
551,1,17,Died,Man
552,2,27,Survived,Man
554,3,22,Died,Man
555,3,22,Died,Woman
556,1,62,Survived,Man
557,1,48,Died,Woman
559,1,39,Died,Woman
560,3,36,Died,Woman
562,3,40,Survived,Man
563,2,28,Survived,Man
566,3,24,Survived,Man
567,3,19,Survived,Man
568,3,29,Survived,Woman
570,3,32,Died,Man
571,2,62,Died,Man
572,1,53,Died,Woman
573,1,36,Died,Man
575,3,16,Survived,Man
576,3,19,Survived,Man
577,2,34,Died,Woman
578,1,39,Died,Woman
580,3,32,Died,Man
581,2,25,Died,Woman
582,1,39,Died,Woman
583,2,54,Survived,Man
584,1,36,Survived,Man
586,1,18,Died,Woman
587,2,47,Survived,Man
588,1,60,Died,Man
589,3,22,Survived,Man
591,3,35,Survived,Man
592,1,52,Died,Woman
593,3,47,Survived,Man
595,2,37,Survived,Man
596,3,36,Survived,Man
598,3,49,Survived,Man
600,1,49,Died,Man
601,2,24,Died,Woman
604,3,44,Survived,Man
605,1,35,Died,Man
606,3,36,Survived,Man
607,3,30,Survived,Man
608,1,27,Died,Man
609,2,22,Died,Woman
610,1,40,Died,Woman
611,3,39,Survived,Woman
615,3,35,Survived,Man
616,2,24,Died,Woman
617,3,34,Survived,Man
618,3,26,Survived,Woman
619,2,4,Died,Woman
620,2,26,Survived,Man
621,3,27,Survived,Man
622,1,42,Died,Man
623,3,20,Died,Man
624,3,21,Survived,Man
625,3,21,Survived,Man
626,1,61,Survived,Man
627,2,57,Survived,Man
628,1,21,Died,Woman
629,3,26,Survived,Man
631,1,80,Died,Man
632,3,51,Survived,Man
633,1,32,Died,Man
635,3,9,Survived,Woman
636,2,28,Died,Woman
637,3,32,Survived,Man
638,2,31,Survived,Man
639,3,41,Survived,Woman
641,3,20,Survived,Man
642,1,24,Died,Woman
643,3,2,Survived,Woman
645,3,0.75,Died,Woman
646,1,48,Died,Man
647,3,19,Survived,Man
648,1,56,Died,Man
650,3,23,Died,Woman
652,2,18,Died,Woman
653,3,21,Survived,Man
655,3,18,Survived,Woman
656,2,24,Survived,Man
658,3,32,Survived,Woman
659,2,23,Survived,Man
660,1,58,Survived,Man
661,1,50,Died,Man
662,3,40,Survived,Man
663,1,47,Survived,Man
664,3,36,Survived,Man
665,3,20,Died,Man
666,2,32,Survived,Man
667,2,25,Survived,Man
669,3,43,Survived,Man
671,2,40,Died,Woman
672,1,31,Survived,Man
673,2,70,Survived,Man
674,2,31,Died,Man
676,3,18,Survived,Man
677,3,24.5,Survived,Man
678,3,18,Died,Woman
679,3,43,Survived,Woman
680,1,36,Died,Man
682,1,27,Died,Man
683,3,20,Survived,Man
684,3,14,Survived,Man
685,2,60,Survived,Man
686,2,25,Survived,Man
687,3,14,Survived,Man
688,3,19,Survived,Man
689,3,18,Survived,Man
690,1,15,Died,Woman
691,1,31,Died,Man
692,3,4,Died,Woman
694,3,25,Survived,Man
695,1,60,Survived,Man
696,2,52,Survived,Man
697,3,44,Survived,Man
699,1,49,Survived,Man
700,3,42,Survived,Man
701,1,18,Died,Woman
702,1,35,Died,Man
703,3,18,Survived,Woman
704,3,25,Survived,Man
705,3,26,Survived,Man
706,2,39,Survived,Man
707,2,45,Died,Woman
708,1,42,Died,Man
709,1,22,Died,Woman
711,1,24,Died,Woman
713,1,48,Died,Man
714,3,29,Survived,Man
715,2,52,Survived,Man
716,3,19,Survived,Man
717,1,38,Died,Woman
718,2,27,Died,Woman
720,3,33,Survived,Man
721,2,6,Died,Woman
722,3,17,Survived,Man
723,2,34,Survived,Man
724,2,50,Survived,Man
725,1,27,Died,Man
726,3,20,Survived,Man
727,2,30,Died,Woman
729,2,25,Survived,Man
730,3,25,Survived,Woman
731,1,29,Died,Woman
732,3,11,Survived,Man
734,2,23,Survived,Man
735,2,23,Survived,Man
736,3,28.5,Survived,Man
737,3,48,Survived,Woman
738,1,35,Died,Man
742,1,36,Survived,Man
743,1,21,Died,Woman
744,3,24,Survived,Man
745,3,31,Died,Man
746,1,70,Survived,Man
747,3,16,Survived,Man
748,2,30,Died,Woman
749,1,19,Survived,Man
750,3,31,Survived,Man
751,2,4,Died,Woman
752,3,6,Died,Man
753,3,33,Survived,Man
754,3,23,Survived,Man
755,2,48,Died,Woman
756,2,0.67,Died,Man
757,3,28,Survived,Man
758,2,18,Survived,Man
759,3,34,Survived,Man
760,1,33,Died,Woman
762,3,41,Survived,Man
763,3,20,Died,Man
764,1,36,Died,Woman
765,3,16,Survived,Man
766,1,51,Died,Woman
768,3,30.5,Survived,Woman
770,3,32,Survived,Man
771,3,24,Survived,Man
772,3,48,Survived,Man
773,2,57,Survived,Woman
775,2,54,Died,Woman
776,3,18,Survived,Man
778,3,5,Died,Woman
780,1,43,Died,Woman
781,3,13,Died,Woman
782,1,17,Died,Woman
783,1,29,Survived,Man
785,3,25,Survived,Man
786,3,25,Survived,Man
787,3,18,Died,Woman
788,3,8,Survived,Man
789,3,1,Died,Man
790,1,46,Survived,Man
792,2,16,Survived,Man
795,3,25,Survived,Man
796,2,39,Survived,Man
797,1,49,Died,Woman
798,3,31,Died,Woman
799,3,30,Survived,Man
800,3,30,Survived,Woman
801,2,34,Survived,Man
802,2,31,Died,Woman
803,1,11,Died,Man
804,3,0.42,Died,Man
805,3,27,Died,Man
806,3,31,Survived,Man
807,1,39,Survived,Man
808,3,18,Survived,Woman
809,2,39,Survived,Man
810,1,33,Died,Woman
811,3,26,Survived,Man
812,3,39,Survived,Man
813,2,35,Survived,Man
814,3,6,Survived,Woman
815,3,30.5,Survived,Man
817,3,23,Survived,Woman
818,2,31,Survived,Man
819,3,43,Survived,Man
820,3,10,Survived,Man
821,1,52,Died,Woman
822,3,27,Died,Man
823,1,38,Survived,Man
824,3,27,Died,Woman
825,3,2,Survived,Man
828,2,1,Died,Man
830,1,62,Died,Woman
831,3,15,Died,Woman
832,2,0.83,Died,Man
834,3,23,Survived,Man
835,3,18,Survived,Man
836,1,39,Died,Woman
837,3,21,Survived,Man
839,3,32,Died,Man
841,3,20,Survived,Man
842,2,16,Survived,Man
843,1,30,Died,Woman
844,3,34.5,Survived,Man
845,3,17,Survived,Man
846,3,42,Survived,Man
848,3,35,Survived,Man
849,2,28,Survived,Man
851,3,4,Survived,Man
852,3,74,Survived,Man
853,3,9,Survived,Woman
854,1,16,Died,Woman
855,2,44,Survived,Woman
856,3,18,Died,Woman
857,1,45,Died,Woman
858,1,51,Died,Man
859,3,24,Died,Woman
861,3,41,Survived,Man
862,2,21,Survived,Man
863,1,48,Died,Woman
865,2,24,Survived,Man
866,2,42,Died,Woman
867,2,27,Died,Woman
868,1,31,Survived,Man
870,3,4,Died,Man
871,3,26,Survived,Man
872,1,47,Died,Woman
873,1,33,Survived,Man
874,3,47,Survived,Man
875,2,28,Died,Woman
876,3,15,Died,Woman
877,3,20,Survived,Man
878,3,19,Survived,Man
880,1,56,Died,Woman
881,2,25,Died,Woman
882,3,33,Survived,Man
883,3,22,Survived,Woman
884,2,28,Survived,Man
885,3,25,Survived,Man
886,3,39,Survived,Woman
887,2,27,Survived,Man
888,1,19,Died,Woman
890,1,26,Died,Man
891,3,32,Survived,Man
